id,author,datetime,message,jira,commit,repo,package,smell,cause,metric,# classes,plot_pos,is_gc
12198666bf0cf6811613c9ae27c4a384e42875b1,tallison,2020-12-02 12:04:33-05:00,TIKA-3241 -- fix more git add problems,TIKA-3241,12198666bf0cf6811613c9ae27c4a384e42875b1,tika-cpu_1,org.apache.tika.parser.microsoft.onenote,God Component,MANY_CLASSES,49.0,49.0,6,True
8dbb5736fa92b323e270e2075b42dce458a3abd6,tallison,2020-12-02 09:41:07-05:00,TIKA-3241 -- clarify parser module structure,TIKA-3241,,,org.apache.tika.parser.microsoft.onenote,,,,,6,False
c85f5cc4729f1d6bd81c24bab375e89fd1037237,Nicholas DiPiazza,2019-12-16 15:56:48-06:00,squash commits of one note tika parser (#303),,c85f5cc4729f1d6bd81c24bab375e89fd1037237,tika-cpu_6,org.apache.tika.parser.microsoft.onenote,God Component,MANY_CLASSES,48.0,48.0,6,True
12198666bf0cf6811613c9ae27c4a384e42875b1,tallison,2020-12-02 12:04:33-05:00,TIKA-3241 -- fix more git add problems,TIKA-3241,12198666bf0cf6811613c9ae27c4a384e42875b1,tika-cpu_1,org.apache.tika.parser.microsoft.ooxml,God Component,MANY_CLASSES,34.0,34.0,5,True
8dbb5736fa92b323e270e2075b42dce458a3abd6,tallison,2020-12-02 09:41:07-05:00,TIKA-3241 -- clarify parser module structure,TIKA-3241,,,org.apache.tika.parser.microsoft.ooxml,,,,,5,False
9d34cbb92a43bc52b4886954e0771ca6eea96bad,Tim Allison,2017-05-18 06:12:50-04:00,Merge pull request #181 from icirellik/close-fonts,,9d34cbb92a43bc52b4886954e0771ca6eea96bad,tika-cpu_23,org.apache.tika.parser.microsoft.ooxml,God Component,MANY_CLASSES,31.0,31.0,5,True
b5b4eb6fde6c34c12d534e9412c0c73326b9886c,Cameron Rollheiser,2017-05-17 09:44:34-04:00,TrueTypeParser Close Open Fonts,,,,org.apache.tika.parser.microsoft.ooxml,,,,,5,False
3207f12c13491005b16104cbeeea8d3da2f6966d,Chris Mattmann,2017-05-08 22:54:47-07:00,Merge pull request #165 from thammegowda/tika-dl,,3207f12c13491005b16104cbeeea8d3da2f6966d,tika-cpu_23,org.apache.tika.parser.microsoft.ooxml,God Component,MANY_CLASSES,31.0,31.0,5,True
704a0393334d2b9911bc19ae458801e7fed7f796,Chris Mattmann,2017-05-08 22:22:44-07:00,Pin to DL4J model 0.8.0-2.,,,,org.apache.tika.parser.microsoft.ooxml,,,,,5,False
0aaa1215fd11632c349e9bdebac9829578276cb1,David Meikle,2017-05-08 14:32:19+01:00,TIKA-2357: Increased support for Tesseract PSM up to 13 from Rafael Ferreira,TIKA-2357,0aaa1215fd11632c349e9bdebac9829578276cb1,tika-cpu_23,org.apache.tika.parser.microsoft.ooxml,God Component,MANY_CLASSES,31.0,31.0,5,True
1e436f50ec97862b41805b678415d65a8fecd2b3,Chris Mattmann,2017-05-07 11:33:04-07:00,ignore inception tmp model.,,,,org.apache.tika.parser.microsoft.ooxml,,,,,5,False
414a4297a2000d8f9276e0ed5d657643f8e94d3a,Madhav Sharan,2017-05-04 15:58:18-07:00,fix for TIKA-2355 contributed by msharan@usc.edu,TIKA-2355,414a4297a2000d8f9276e0ed5d657643f8e94d3a,tika-cpu_23,org.apache.tika.parser.microsoft.ooxml,God Component,MANY_CLASSES,31.0,31.0,5,True
01ae9876663cb522f886322be8c2d395ab279854,Thamme Gowda,2017-05-03 21:47:07-07:00,"[TIKA-DL] Updated model path, fixed issue with HTTP URL from XML",,,,org.apache.tika.parser.microsoft.ooxml,,,,,5,False
70d2455c4ff7c54afe6762d5b50653b8de06f2b2,Chris Mattmann,2017-05-03 13:32:42-07:00,Merge branch 'master' into TIKA-2016,TIKA-2016,70d2455c4ff7c54afe6762d5b50653b8de06f2b2,tika-cpu_23,org.apache.tika.parser.microsoft.ooxml,God Component,MANY_CLASSES,31.0,31.0,5,True
b46f20d41157a1d4b8d4cd2ced67fdf1f6772e47,Chris Mattmann,2017-05-03 13:17:16-07:00,Add categorical test.,,,,org.apache.tika.parser.microsoft.ooxml,,,,,5,False
19348811a9ff9e89cb309334cfba010a62b72600,tballison,2017-05-03 16:16:56-04:00,TIKA-2352 -- via Pascal Essiembre.  This closes #176,TIKA-2352,19348811a9ff9e89cb309334cfba010a62b72600,tika-cpu_21,org.apache.tika.parser.microsoft.ooxml,God Component,MANY_CLASSES,31.0,31.0,5,True
c5da6bbbddf877585a2869e4f3d963b3f7d62795,Chris Mattmann,2017-05-03 13:14:55-07:00,Add multi-class/categorical sentiment config test file.,,,,org.apache.tika.parser.microsoft.ooxml,,,,,5,False
e7b0cadfeaf76bf6bd96ad35b3510633368a1a07,Pascal Essiembre,2017-05-03 15:54:03-04:00,Fix for TIKA-2352 contributed by pascal.essiembre,TIKA-2352,e7b0cadfeaf76bf6bd96ad35b3510633368a1a07,tika-cpu_21,org.apache.tika.parser.microsoft.ooxml,God Component,MANY_CLASSES,31.0,31.0,5,True
2217a8f4107cc0b6b4d238a641a3e9c4c7abf384,Chris Mattmann,2017-05-03 11:50:22-07:00,Updating Tika Bundle POM for sentiment analysis - still getting errors.,,,,org.apache.tika.parser.microsoft.ooxml,,,,,5,False
dd515914e5b2986247834307eb7c922c3c2c50a9,Thamme Gowda,2017-04-20 13:35:58-07:00,Merge branch 'KranthiGV-TIKA-2307',TIKA-2307,dd515914e5b2986247834307eb7c922c3c2c50a9,tika-cpu_20,org.apache.tika.parser.microsoft.ooxml,God Component,MANY_CLASSES,31.0,31.0,5,True
834920e769e674b0af8024fdb6067ee12651d196,Thamme Gowda,2017-04-20 13:31:12-07:00,Updated URL to point to ASF repo,,,,org.apache.tika.parser.microsoft.ooxml,,,,,5,False
67612b8f805ad5d1085db14922d3b3b6ddce19bf,tballison,2017-04-19 10:11:29-04:00,TIKA-1195 and TIKA-2329,TIKA-1195,67612b8f805ad5d1085db14922d3b3b6ddce19bf,tika-cpu_20,org.apache.tika.parser.microsoft.ooxml,God Component,MANY_CLASSES,31.0,31.0,5,True
fbd2a4ea272ad90812d50b6c9fec3cd50b3d632b,tballison,2017-03-23 09:34:48-04:00,undo super bone-headed commit that was intended for personal fork.  Wait until poi-3.16-beta3.,,,,org.apache.tika.parser.microsoft.ooxml,,,,,5,False
315a0d6be3714024dd5259444f739a026f0de574,tballison,2017-03-23 09:23:55-04:00,add initial support for xlsb,,315a0d6be3714024dd5259444f739a026f0de574,tika-cpu_19,org.apache.tika.parser.microsoft.ooxml,God Component,MANY_CLASSES,31.0,31.0,5,True
a43784b19f6b0955478dded71521b0491d21c90b,tallison,2020-12-02 11:58:44-05:00,"TIKA-3241 -- fix git add problems, replace some test documents that were  modified in the move, update poms",TIKA-3241,a43784b19f6b0955478dded71521b0491d21c90b,tika-cpu_1,org.apache.tika.parser.txt,God Component,MANY_CLASSES,63.0,63.0,4,True
8dbb5736fa92b323e270e2075b42dce458a3abd6,tallison,2020-12-02 09:41:07-05:00,TIKA-3241 -- clarify parser module structure,TIKA-3241,,,org.apache.tika.parser.txt,,,,,4,False
d9493ee520d41bfc8be8a3bd959dde6e136729e7,Jukka Zitting,2009-05-22 18:21:59+00:00,TIKA-233: Inline the ICU4J charset detection logic,TIKA-233,d9493ee520d41bfc8be8a3bd959dde6e136729e7,tika-cpu_18,org.apache.tika.parser.txt,God Component,MANY_CLASSES,62.0,62.0,4,True
fcde81cfbf6f7d4a7ba4e148471f1ce622d59f92,Jukka Zitting,2011-09-25 09:42:05+00:00,TIKA-651: Unescaped attribute value generated,TIKA-651,fcde81cfbf6f7d4a7ba4e148471f1ce622d59f92,tika-cpu_19,org.apache.tika.sax,God Component,MANY_CLASSES,31.0,31.0,3,True
bf1b2418d47e9fa47e0634825341921d7edd1ee8,TALLISON,2018-09-07 19:16:32-04:00,"TIKA-2725 -- checkpoint commit ... basic child process is started...need to integrate actual statuswatcher, etc.",TIKA-2725,bf1b2418d47e9fa47e0634825341921d7edd1ee8,tika-cpu_13,org.apache.tika.server,God Component,MANY_CLASSES,31.0,31.0,2,True
411248466302763e19608733dcbfb95cdc36363d,Tyler Palsulich,2015-03-13 22:09:52+00:00,TIKA-1564. Move tika-server resources and writers to their own packages.,TIKA-1564,,,org.apache.tika.server,,,,,2,False
14991add8ca94238b07b98b341febf67b6e5fbb7,Nick Burch,2014-05-07 12:27:11+00:00,"TIKA-1270 Complete parser details endpoint, and tests",TIKA-1270,14991add8ca94238b07b98b341febf67b6e5fbb7,tika-cpu_8,org.apache.tika.server,God Component,MANY_CLASSES,31.0,31.0,2,True
a43784b19f6b0955478dded71521b0491d21c90b,tallison,2020-12-02 11:58:44-05:00,"TIKA-3241 -- fix git add problems, replace some test documents that were  modified in the move, update poms",TIKA-3241,a43784b19f6b0955478dded71521b0491d21c90b,tika-cpu_1,org.apache.tika.utils,God Component,MANY_CLASSES,31.0,31.0,1,True
8dbb5736fa92b323e270e2075b42dce458a3abd6,tallison,2020-12-02 09:41:07-05:00,TIKA-3241 -- clarify parser module structure,TIKA-3241,,,org.apache.tika.utils,,,,,1,False
793eb4a72916ed3c21413c5faf7662c921f58b49,Ken Krugler,2020-11-05 14:45:03-08:00,Merge pull request #375 from PeterAlfredLee/addCompareUtils,,793eb4a72916ed3c21413c5faf7662c921f58b49,tika-cpu_3,org.apache.tika.utils,God Component,MANY_CLASSES,31.0,31.0,1,True
53fef890942bdf69d455abbbecc17cd22d6621d6,PeterAlfredLee,2020-11-03 15:57:22+08:00,Simplify some sort statement use List.sort and lambda,,,,org.apache.tika.utils,,,,,1,False
71486d765318062f8cb04cd3335bd9049a2ff5fc,PeterAlfredLee,2020-10-31 12:13:55+08:00,Add CompareUtils and simplify some sort,,71486d765318062f8cb04cd3335bd9049a2ff5fc,tika-cpu_3,org.apache.tika.utils,God Component,MANY_CLASSES,31.0,31.0,1,True
