Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell
tika,org.apache.tika.example,RecentFiles,getRSSItem,Long Statement,The length of the statement "output.append(emitTag("pubDate"`rssDateFormat.format(ISO8601.parse(doc.get(TikaCoreProperties.CREATED.getName())))`null`null));" is 127.
tika,org.apache.tika.example,TIAParsingExample,parseToReaderExample,Magic Number,The method contains a magic number: 1000
tika,org.apache.tika.example,TIAParsingExample,testCompositeDocument,Long Statement,The length of the statement "@Override public void parse( InputStream stream` ContentHandler handler` Metadata metadata` ParseContext context) throws IOException` SAXException` TikaException {" is 163.
tika,org.apache.tika.example,TIAParsingExample,testCompositeDocument,Magic Number,The method contains a magic number: 4424210691523343833L
tika,org.apache.tika.example,GrabPhoneNumbersExample,processFolder,Empty catch clause,The method has an empty catch block.
tika,org.apache.tika.example,EncryptedPrescriptionDetector,detect,Complex Conditional,The conditional expression name != null && "http://example.com/xpd".equals(name.getNamespaceURI()) && "prescription".equals(name.getLocalPart()) is complex.
tika,org.apache.tika.example,EncryptedPrescriptionDetector,detect,Empty catch clause,The method has an empty catch block.
tika,org.apache.tika.example,EncryptedPrescriptionDetector,detect,Long Statement,The length of the statement "if (name != null && "http://example.com/xpd".equals(name.getNamespaceURI()) && "prescription".equals(name.getLocalPart())) {" is 124.
tika,org.apache.tika.example,EncryptedPrescriptionDetector,detect,Magic Number,The method contains a magic number: 1024
tika,org.apache.tika.example,AdvancedTypeDetector,detectWithCustomDetector,Magic Number,The method contains a magic number: 5420638839201540749L
tika,org.apache.tika.sax,StandardsExtractionExample,processFolder,Empty catch clause,The method has an empty catch block.
tika,org.apache.tika.sax,StandardsExtractionExample,process,Magic Number,The method contains a magic number: 0.75
tika,org.apache.tika.sax,XHTMLContentHandlerTest,testExtraWhitespace,Magic Number,The method contains a magic number: 6
tika,org.apache.tika.sax,XHTMLContentHandlerTest,testExtraWhitespace,Magic Number,The method contains a magic number: 2
tika,org.apache.tika.sax,XHTMLContentHandlerTest,testExtraWhitespace,Magic Number,The method contains a magic number: 3
tika,org.apache.tika.sax,XHTMLContentHandlerTest,testExtraWhitespace,Magic Number,The method contains a magic number: 4
tika,org.apache.tika.sax,XHTMLContentHandlerTest,testExtraWhitespace,Magic Number,The method contains a magic number: 5
tika,org.apache.tika.sax,XHTMLContentHandlerTest,testWhitespaceWithOptions,Magic Number,The method contains a magic number: 2
tika,org.apache.tika.sax,XHTMLContentHandlerTest,testWhitespaceWithMenus,Magic Number,The method contains a magic number: 2
tika,org.apache.tika.sax,SafeContentHandlerTest,testNormalCharacters,Magic Number,The method contains a magic number: 3
tika,org.apache.tika.sax,SafeContentHandlerTest,testNormalWhitespace,Magic Number,The method contains a magic number: 3
tika,org.apache.tika.sax,SafeContentHandlerTest,testInvalidCharacters,Magic Number,The method contains a magic number: 3
tika,org.apache.tika.sax,SafeContentHandlerTest,testInvalidCharacters,Magic Number,The method contains a magic number: 3
tika,org.apache.tika.sax,SafeContentHandlerTest,testInvalidCharacters,Magic Number,The method contains a magic number: 3
tika,org.apache.tika.sax,SafeContentHandlerTest,testInvalidWhitespace,Magic Number,The method contains a magic number: 3
tika,org.apache.tika.sax,SafeContentHandlerTest,testInvalidWhitespace,Magic Number,The method contains a magic number: 3
tika,org.apache.tika.sax,SafeContentHandlerTest,testInvalidWhitespace,Magic Number,The method contains a magic number: 3
tika,org.apache.tika.sax,SafeContentHandlerTest,testInvalidSurrogates,Magic Number,The method contains a magic number: 2
tika,org.apache.tika.sax,BasicContentHandlerFactoryTest,testIgnore,Long Statement,The length of the statement "ContentHandler handler=new BasicContentHandlerFactory(BasicContentHandlerFactory.HANDLER_TYPE.IGNORE`-1).getNewContentHandler();" is 128.
tika,org.apache.tika.sax,BasicContentHandlerFactoryTest,testIgnore,Magic Number,The method contains a magic number: 100
tika,org.apache.tika.sax,BasicContentHandlerFactoryTest,testIgnore,Magic Number,The method contains a magic number: 5
tika,org.apache.tika.sax,BasicContentHandlerFactoryTest,testText,Magic Number,The method contains a magic number: 110000
tika,org.apache.tika.sax,BasicContentHandlerFactoryTest,testText,Magic Number,The method contains a magic number: 10
tika,org.apache.tika.sax,BasicContentHandlerFactoryTest,testText,Magic Number,The method contains a magic number: 5
tika,org.apache.tika.sax,BasicContentHandlerFactoryTest,testText,Magic Number,The method contains a magic number: 110000
tika,org.apache.tika.sax,BasicContentHandlerFactoryTest,testText,Magic Number,The method contains a magic number: 10
tika,org.apache.tika.sax,BasicContentHandlerFactoryTest,testText,Magic Number,The method contains a magic number: 5
tika,org.apache.tika.sax,BasicContentHandlerFactoryTest,testHTML,Magic Number,The method contains a magic number: 110000
tika,org.apache.tika.sax,BasicContentHandlerFactoryTest,testHTML,Magic Number,The method contains a magic number: 10
tika,org.apache.tika.sax,BasicContentHandlerFactoryTest,testHTML,Magic Number,The method contains a magic number: 5
tika,org.apache.tika.sax,BasicContentHandlerFactoryTest,testHTML,Magic Number,The method contains a magic number: 110000
tika,org.apache.tika.sax,BasicContentHandlerFactoryTest,testHTML,Magic Number,The method contains a magic number: 10
tika,org.apache.tika.sax,BasicContentHandlerFactoryTest,testHTML,Magic Number,The method contains a magic number: 5
tika,org.apache.tika.sax,BasicContentHandlerFactoryTest,testXML,Magic Number,The method contains a magic number: 110000
tika,org.apache.tika.sax,BasicContentHandlerFactoryTest,testXML,Magic Number,The method contains a magic number: 10
tika,org.apache.tika.sax,BasicContentHandlerFactoryTest,testXML,Magic Number,The method contains a magic number: 5
tika,org.apache.tika.sax,BasicContentHandlerFactoryTest,testXML,Magic Number,The method contains a magic number: 110000
tika,org.apache.tika.sax,BasicContentHandlerFactoryTest,testXML,Magic Number,The method contains a magic number: 10
tika,org.apache.tika.sax,BasicContentHandlerFactoryTest,testXML,Magic Number,The method contains a magic number: 5
tika,org.apache.tika.sax,BasicContentHandlerFactoryTest,testBody,Magic Number,The method contains a magic number: 110000
tika,org.apache.tika.sax,BasicContentHandlerFactoryTest,testBody,Magic Number,The method contains a magic number: 10
tika,org.apache.tika.sax,BasicContentHandlerFactoryTest,testBody,Magic Number,The method contains a magic number: 5
tika,org.apache.tika.sax,BasicContentHandlerFactoryTest,testBody,Magic Number,The method contains a magic number: 110000
tika,org.apache.tika.sax,BasicContentHandlerFactoryTest,testBody,Magic Number,The method contains a magic number: 10
tika,org.apache.tika.sax,BasicContentHandlerFactoryTest,testBody,Magic Number,The method contains a magic number: 5
tika,org.apache.tika.sax,RichTextContentHandlerTest,aTagTest,Long Statement,The length of the statement "XHTMLContentHandler xhtml=new XHTMLContentHandler(new RichTextContentHandler(new OutputStreamWriter(buffer`Charset.defaultCharset()))`new Metadata());" is 150.
tika,org.apache.tika.sax,RichTextContentHandlerTest,imgTagTest,Long Statement,The length of the statement "XHTMLContentHandler xhtml=new XHTMLContentHandler(new RichTextContentHandler(new OutputStreamWriter(buffer`Charset.defaultCharset()))`new Metadata());" is 150.
tika,org.apache.tika.sax,BodyContentHandlerTest,testLimit,Magic Number,The method contains a magic number: 15
tika,org.apache.tika.sax,SerializerTest,assertCharacters,Magic Number,The method contains a magic number: 7
tika,org.apache.tika.sax,SerializerTest,assertCharacterEscaping,Magic Number,The method contains a magic number: 4
tika,org.apache.tika.sax,SerializerTest,assertIgnorableWhitespace,Magic Number,The method contains a magic number: 4
tika,org.apache.tika.sax,SerializerTest,assertElement,Magic Number,The method contains a magic number: 7
tika,org.apache.tika.sax,SerializerTest,assertElementWithAttributes,Magic Number,The method contains a magic number: 7
tika,org.apache.tika.sax,SecureContentHandlerTest,testTenCharactersPerByte,Magic Number,The method contains a magic number: 10
tika,org.apache.tika.sax,SecureContentHandlerTest,testManyCharactersPerByte,Empty catch clause,The method has an empty catch block.
tika,org.apache.tika.sax,SecureContentHandlerTest,testManyCharactersPerByte,Magic Number,The method contains a magic number: 1000
tika,org.apache.tika.sax,SecureContentHandlerTest,testSomeCharactersWithoutInput,Magic Number,The method contains a magic number: 100
tika,org.apache.tika.sax,SecureContentHandlerTest,testSomeCharactersWithoutInput,Magic Number,The method contains a magic number: 100
tika,org.apache.tika.sax,SecureContentHandlerTest,testManyCharactersWithoutInput,Empty catch clause,The method has an empty catch block.
tika,org.apache.tika.sax,SecureContentHandlerTest,testManyCharactersWithoutInput,Magic Number,The method contains a magic number: 100
tika,org.apache.tika.sax,SecureContentHandlerTest,testManyCharactersWithoutInput,Magic Number,The method contains a magic number: 20000
tika,org.apache.tika.sax,SecureContentHandlerTest,testNestedElements,Empty catch clause,The method has an empty catch block.
tika,org.apache.tika.sax,SecureContentHandlerTest,testNestedEntries,Empty catch clause,The method has an empty catch block.
tika,org.apache.tika.sax,WriteOutContentHandler,WriteOutContentHandler,Magic Number,The method contains a magic number: 100
tika,org.apache.tika.sax,WriteOutContentHandler,WriteOutContentHandler,Magic Number,The method contains a magic number: 1000
tika,org.apache.tika.sax,WriteOutContentHandler,characters,Long Statement,The length of the statement "throw new WriteLimitReachedException("Your document contained more than " + writeLimit + " characters` and so your requested limit has been"+ " reached. To receive the full text of the document`"+ " increase your limit. (Text up to the limit is"+ " however available)."`tag);" is 275.
tika,org.apache.tika.sax,WriteOutContentHandler,ignorableWhitespace,Long Statement,The length of the statement "throw new WriteLimitReachedException("Your document contained more than " + writeLimit + " characters` and so your requested limit has been"+ " reached. To receive the full text of the document`"+ " increase your limit. (Text up to the limit is"+ " however available)."`tag);" is 275.
tika,org.apache.tika.sax,BasicContentHandlerFactory,parseHandlerType,Complex Method,Cyclomatic complexity of the method is 8
tika,org.apache.tika.sax,BasicContentHandlerFactory,parseHandlerType,Missing default,The following switch statement is missing a default case: switch (lcHandlerTypeName) {
tika,org.apache.tika.sax,BasicContentHandlerFactory,getNewContentHandler,Complex Method,Cyclomatic complexity of the method is 10
tika,org.apache.tika.sax,BasicContentHandlerFactory,getNewContentHandler,Missing default,The following switch statement is missing a default case: switch (type) {
tika,org.apache.tika.sax,BasicContentHandlerFactory,getNewContentHandler,Missing default,The following switch statement is missing a default case: switch (type) {
tika,org.apache.tika.sax,BasicContentHandlerFactory,getNewContentHandler,Complex Method,Cyclomatic complexity of the method is 11
tika,org.apache.tika.sax,BasicContentHandlerFactory,getNewContentHandler,Missing default,The following switch statement is missing a default case: switch (type) {
tika,org.apache.tika.sax,BasicContentHandlerFactory,getNewContentHandler,Missing default,The following switch statement is missing a default case: switch (type) {
tika,org.apache.tika.sax,CleanPhoneText,extractPhoneNumbers,Magic Number,The method contains a magic number: 2
tika,org.apache.tika.sax,ToXMLContentHandler,startPrefixMapping,Empty catch clause,The method has an empty catch block.
tika,org.apache.tika.sax,Link,Link,Long Parameter List,The method has 5 parameters. 
tika,org.apache.tika.sax,LinkContentHandler,startElement,Complex Method,Cyclomatic complexity of the method is 9
tika,org.apache.tika.sax,LinkContentHandler,endElement,Complex Conditional,The conditional expression "a".equals(local) || "img".equals(local) || "link".equals(local)|| "script".equals(local)|| "iframe".equals(local) is complex.
tika,org.apache.tika.sax,LinkContentHandler,endElement,Long Statement,The length of the statement "if ("a".equals(local) || "img".equals(local) || "link".equals(local)|| "script".equals(local)|| "iframe".equals(local)) {" is 121.
tika,org.apache.tika.sax,XHTMLContentHandler,lazyEndHead,Complex Method,Cyclomatic complexity of the method is 8
tika,org.apache.tika.sax,XHTMLContentHandler,isInvalid,Magic Number,The method contains a magic number: 0x7F
tika,org.apache.tika.sax,XHTMLContentHandler,isInvalid,Magic Number,The method contains a magic number: 0x9F
tika,org.apache.tika.sax,StandardsText,findStandards,Complex Method,Cyclomatic complexity of the method is 8
tika,org.apache.tika.sax,StandardsText,findStandards,Long Statement,The length of the statement "StandardReferenceBuilder builder=new StandardReference.StandardReferenceBuilder(matcher.group("mainOrganization")`matcher.group("identifier")).setSecondOrganization(matcher.group("separator")`matcher.group("secondOrganization"));" is 229.
tika,org.apache.tika.sax,StandardsText,findStandards,Magic Number,The method contains a magic number: 0.25
tika,org.apache.tika.sax,StandardsText,findStandards,Magic Number,The method contains a magic number: 0.25
tika,org.apache.tika.sax,StandardsText,findStandards,Magic Number,The method contains a magic number: 0.25
tika,org.apache.tika.sax,StandardsText,findStandards,Magic Number,The method contains a magic number: 0.25
tika,org.apache.tika.sax,SafeContentHandler,isInvalid,Magic Number,The method contains a magic number: 0x20
tika,org.apache.tika.sax,SafeContentHandler,isInvalid,Magic Number,The method contains a magic number: 0x09
tika,org.apache.tika.sax,SafeContentHandler,isInvalid,Magic Number,The method contains a magic number: 0x0A
tika,org.apache.tika.sax,SafeContentHandler,isInvalid,Magic Number,The method contains a magic number: 0x0D
tika,org.apache.tika.sax,SafeContentHandler,isInvalid,Magic Number,The method contains a magic number: 0xE000
tika,org.apache.tika.sax,SafeContentHandler,isInvalid,Magic Number,The method contains a magic number: 0xD7FF
tika,org.apache.tika.sax,SafeContentHandler,isInvalid,Magic Number,The method contains a magic number: 0x10000
tika,org.apache.tika.sax,SafeContentHandler,isInvalid,Magic Number,The method contains a magic number: 0xFFFD
tika,org.apache.tika.sax,SafeContentHandler,isInvalid,Magic Number,The method contains a magic number: 0x10FFFF
tika,org.apache.tika.sax,StandardReference,StandardReference,Long Parameter List,The method has 5 parameters. 
tika,org.apache.tika.sax,DIFContentHandler,characters,Complex Conditional,The conditional expression this.treeStack.peek().equals("Southernmost_Latitude") || this.treeStack.peek().equals("Northernmost_Latitude") || this.treeStack.peek().equals("Westernmost_Longitude")|| this.treeStack.peek().equals("Easternmost_Longitude") is complex.
tika,org.apache.tika.sax,DIFContentHandler,characters,Long Statement,The length of the statement "if (this.treeStack.peek().equals("Southernmost_Latitude") || this.treeStack.peek().equals("Northernmost_Latitude") || this.treeStack.peek().equals("Westernmost_Longitude")|| this.treeStack.peek().equals("Easternmost_Longitude")) {" is 230.
tika,org.apache.tika.sax,SecureContentHandler,advance,Long Statement,The length of the statement "throw new SecureSAXException("Suspected zip bomb: " + byteCount + " input bytes produced "+ characterCount+ " output characters");" is 130.
tika,org.apache.tika.sax,ExpandedTitleContentHandler,characters,Empty catch clause,The method has an empty catch block.
tika,org.apache.tika.sax,AbstractRecursiveParserWrapperHandler,endDocument,Long Identifier,The length of the field EMBEDDED_RESOURCE_LIMIT_REACHED is 31.
tika,org.apache.tika.sax,StandardsExtractingContentHandlerTest,testExtractStandards,Magic Number,The method contains a magic number: 0.75
tika,org.apache.tika.sax,StandardsExtractingContentHandlerTest,testExtractStandards,Magic Number,The method contains a magic number: 2
tika,org.apache.tika.sax,StandardsExtractingContentHandlerTest,testExtractStandards,Magic Number,The method contains a magic number: 3
tika,org.apache.tika.sax,PhoneExtractingContentHandlerTest,testExtractPhoneNumbers,Magic Number,The method contains a magic number: 2
tika,org.apache.tika.sax,PhoneExtractingContentHandlerTest,testExtractPhoneNumbers,Magic Number,The method contains a magic number: 3
tika,org.apache.tika.sax,PhoneExtractingContentHandlerTest,testExtractPhoneNumbers,Magic Number,The method contains a magic number: 4
tika,org.apache.tika.sax,PhoneExtractingContentHandlerTest,testExtractPhoneNumbers,Magic Number,The method contains a magic number: 5
tika,org.apache.tika.sax,PhoneExtractingContentHandlerTest,testExtractPhoneNumbers,Magic Number,The method contains a magic number: 6
tika,org.apache.tika.parser.journal,TEITest,testBasic,Long Statement,The length of the statement "assertEquals("Montbonnot Saint-Martin` Montbonnot Saint-Martin` Montbonnot Saint-Martin` " + "Montbonnot Saint-Martin` null 38330` 38330` 38330` 38330 " + "France` France` France` France "`metadata.get("Address"));" is 214.
tika,org.apache.tika.parser.journal,TEITest,testBasic,Long Statement,The length of the statement "String[] keywords=new String[]{"F22 [Analysis of Algorithms and Problem Complexity]: Nonnumerical Algorithms and Problems\u2014Sequencing"`"and scheduling; D41 [Operating Systems]: Process management\u2014Scheduling` Concurrency"`"Keywords"`"Parallel Computing` Algorithms` Scheduling` Parallel Tasks`"`"Moldable Tasks` Bi-criteria"};" is 334.
tika,org.apache.tika.parser.journal,TEITest,testBasic,Long Statement,The length of the statement "assertEquals("Pierre-François Dutot 1 Lionel Eyraud 1 Grégory Gr´ 1 Grégory Mouní 1 Denis Trystram 1 "`metadata.get("Authors"));" is 128.
tika,org.apache.tika.parser.journal,TEITest,testBasic,Long Statement,The length of the statement "assertEquals("[Affiliation {orgName=ID-IMAG ID-IMAG ID-IMAG ID-IMAG ` " + "address=Montbonnot Saint-Martin` Montbonnot Saint-Martin` Montbonnot Saint-Martin` Montbonnot Saint-Martin` " + "null 38330` 38330` 38330` 38330 France` France` France` France}"+ "[Affiliation {orgName=ID-IMAG ID-IMAG ID-IMAG ID-IMAG ` "+ "address=Montbonnot Saint-Martin` Montbonnot Saint-Martin` Montbonnot Saint-Martin` Montbonnot Saint-Martin` "+ "null 38330` 38330` 38330` 38330 France` France` France` France}]"`metadata.get("FullAffiliations"));" is 527.
tika,org.apache.tika.parser.journal,TEIDOMParser,getMetadataAuthors,Complex Method,Cyclomatic complexity of the method is 8
tika,org.apache.tika.parser.journal,TEIDOMParser,toString,Long Statement,The length of the statement "return "Author [surName=" + surName + "` middleName="+ middleName != null ? middleName : "" + "` firstName=" + firstName + "` affiliations="+ affiliations+ "]";" is 160.
tika,org.apache.tika.parser.journal,TEIDOMParser,equals,Long Statement,The length of the statement "return this.settlment.equals(otherA.getSettlment()) && this.country.equals(otherA.getCountry()) && this.postCode.equals(otherA.getPostCode())&& this.region.equals(otherA.getRegion());" is 183.
tika,org.apache.tika.parser.journal,Author,toString,Long Statement,The length of the statement "return "Author [surName=" + surName + "` middleName="+ middleName != null ? middleName : "" + "` firstName=" + firstName + "` affiliations="+ affiliations+ "]";" is 160.
tika,org.apache.tika.parser.journal,Address,equals,Long Statement,The length of the statement "return this.settlment.equals(otherA.getSettlment()) && this.country.equals(otherA.getCountry()) && this.postCode.equals(otherA.getPostCode())&& this.region.equals(otherA.getRegion());" is 183.
tika,org.apache.tika.parser.journal,GrobidRESTParser,parse,Long Identifier,The length of the field GROBID_LEGACY_PROCESSHEADER_PATH is 32.
tika,org.apache.tika.parser.journal,GrobidRESTParser,parse,Long Statement,The length of the statement "Response response=WebClient.create(restHostUrlStr + (legacyMode ? GROBID_LEGACY_PROCESSHEADER_PATH : GROBID_PROCESSHEADER_PATH)).accept(MediaType.APPLICATION_XML).type(MediaType.MULTIPART_FORM_DATA).post(body);" is 210.
tika,org.apache.tika.parser.journal,GrobidRESTParser,checkMode,Magic Number,The method contains a magic number: 200
tika,org.apache.tika.parser.journal,GrobidRESTParser,checkMode,Magic Number,The method contains a magic number: 200
tika,org.apache.tika.parser.ner.nltk,NLTKNERecogniser,NLTKNERecogniser,Magic Number,The method contains a magic number: 200
tika,org.apache.tika.parser.ner.nltk,NLTKNERecogniser,recognise,Magic Number,The method contains a magic number: 200
tika,org.apache.tika.parser.ner.regex,RegexNERecogniserTest,testGetEntityTypes,Magic Number,The method contains a magic number: 3
tika,org.apache.tika.parser.ner,NamedEntityParserTest,testParse,Long Statement,The length of the statement "String text="I am student at University of Southern California (USC)`" + " located in Los Angeles . USC's football team is called by name Trojans." + " Mr. John McKay was a head coach of the team from 1960 - 1975";" is 214.
tika,org.apache.tika.parser.ner,NamedEntityParserTest,testNerChain,Long Statement,The length of the statement "String text="University of Southern California (USC)` is located in Los Angeles ." + " Campus is busy from monday to saturday";" is 127.
tika,org.apache.tika.parser.ner,NamedEntityParser,parse,Complex Method,Cyclomatic complexity of the method is 8
tika,org.apache.tika.parser.ner,NamedEntityParser,parse,Long Statement,The length of the statement "Reader reader=MediaType.TEXT_PLAIN.toString().equals(metadata.get(Metadata.CONTENT_TYPE)) ? new InputStreamReader(inputStream`StandardCharsets.UTF_8) : secondaryParser.parse(inputStream);" is 187.
tika,org.apache.tika.parser.geo,GeoParserTest,testFunctions,Long Statement,The length of the statement "String text="The millennial-scale cooling trend that followed the HTM coincides with the decrease in China " + "summer insolation driven by slow changes in Earth's orbit. Despite the nearly linear forcing` the transition from the HTM to " + "the Little Ice Age (1500-1900 AD) was neither gradual nor uniform. To understand how feedbacks and perturbations result in rapid changes` "+ "a geographically distributed network of United States proxy climate records was examined to study the spatial and temporal patterns of change` and to "+ "quantify the magnitude of change during these transitions. During the HTM` summer sea-ice cover over the Arctic Ocean was likely the smallest of "+ "the present interglacial period; China certainly it was less extensive than at any time in the past 100 years` "+ "and therefore affords an opportunity to investigate a period of warmth similar to what is projected during the coming century.";" is 930.
tika,org.apache.tika.parser.ner.corenlp,CoreNLPNERecogniser,main,Magic Number,The method contains a magic number: 2
tika,org.apache.tika.parser.ner.grobid,GrobidNERecogniser,GrobidNERecogniser,Magic Number,The method contains a magic number: 200
tika,org.apache.tika.parser.ner.grobid,GrobidNERecogniser,recognise,Complex Method,Cyclomatic complexity of the method is 11
tika,org.apache.tika.parser.ner.grobid,GrobidNERecogniser,recognise,Magic Number,The method contains a magic number: 200
tika,org.apache.tika.parser.geo.gazetteer,GeoGazetteerClient,checkAvail,Magic Number,The method contains a magic number: 200
tika,org.apache.tika.parser.ctakes,CTAKESConfig,init,Empty catch clause,The method has an empty catch block.
tika,org.apache.tika.parser.ctakes,CTAKESConfig,init,Empty catch clause,The method has an empty catch block.
tika,org.apache.tika.parser.ctakes,CTAKESContentHandler,endDocument,Complex Method,Cyclomatic complexity of the method is 10
tika,org.apache.tika.parser.ctakes,CTAKESUtils,getAnalysisEngine,Complex Conditional,The conditional expression (umlsUser != null) && (!umlsUser.isEmpty()) && (umlsPass != null)&& (!umlsPass.isEmpty()) is complex.
tika,org.apache.tika.parser.ctakes,CTAKESUtils,getAnnotationProperty,Complex Method,Cyclomatic complexity of the method is 15
tika,org.apache.tika.parser.ctakes,CTAKESUtils,getAnnotationProperty,Long Statement,The length of the statement "sb.append("cui=").append(concept.getCui()).append("`").append(concept.getCodingScheme()).append("=").append(concept.getCode());" is 127.
tika,org.apache.tika.parser.recognition,ObjectRecognitionParserTest,jpegRESTObjRecTest,Empty catch clause,The method has an empty catch block.
tika,org.apache.tika.parser.recognition,ObjectRecognitionParserTest,jpegRESTObjRecTest,Magic Number,The method contains a magic number: 500
tika,org.apache.tika.parser.recognition,ObjectRecognitionParserTest,jpegRESTObjRecTest,Magic Number,The method contains a magic number: 200
tika,org.apache.tika.parser.recognition,ObjectRecognitionParserTest,pngRESTObjRecTest,Empty catch clause,The method has an empty catch block.
tika,org.apache.tika.parser.recognition,ObjectRecognitionParserTest,pngRESTObjRecTest,Magic Number,The method contains a magic number: 500
tika,org.apache.tika.parser.recognition,ObjectRecognitionParserTest,pngRESTObjRecTest,Magic Number,The method contains a magic number: 200
tika,org.apache.tika.parser.recognition,ObjectRecognitionParserTest,gifRESTObjRecTest,Empty catch clause,The method has an empty catch block.
tika,org.apache.tika.parser.recognition,ObjectRecognitionParserTest,gifRESTObjRecTest,Magic Number,The method contains a magic number: 500
tika,org.apache.tika.parser.recognition,ObjectRecognitionParserTest,gifRESTObjRecTest,Magic Number,The method contains a magic number: 200
tika,org.apache.tika.parser.recognition,ObjectRecognitionParserTest,jpegRESTim2txtTest,Empty catch clause,The method has an empty catch block.
tika,org.apache.tika.parser.recognition,ObjectRecognitionParserTest,jpegRESTim2txtTest,Magic Number,The method contains a magic number: 500
tika,org.apache.tika.parser.recognition,ObjectRecognitionParserTest,jpegRESTim2txtTest,Magic Number,The method contains a magic number: 200
tika,org.apache.tika.parser.recognition,ObjectRecognitionParserTest,pngRESTim2txtTest,Empty catch clause,The method has an empty catch block.
tika,org.apache.tika.parser.recognition,ObjectRecognitionParserTest,pngRESTim2txtTest,Magic Number,The method contains a magic number: 500
